Feature,Region,Status,IsSynthetic,Provenance
Copilot in Fabric,canadacentral,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,canadacentral,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,canadacentral,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,canadacentral,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,canadacentral,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,canadacentral,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,southcentralus,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,southcentralus,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,southcentralus,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,southcentralus,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,southcentralus,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,southcentralus,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,canadaeast,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,canadaeast,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,canadaeast,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,canadaeast,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,canadaeast,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,canadaeast,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,centralindia,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,centralindia,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,centralindia,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,centralindia,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,centralindia,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,centralindia,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,eastus2,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,eastus2,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,eastus2,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,eastus2,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,eastus2,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,eastus2,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,westeurope,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,westeurope,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,westeurope,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,westeurope,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,westeurope,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,westeurope,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,northeurope,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,northeurope,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,northeurope,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,northeurope,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,northeurope,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,northeurope,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,eastus,Live,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,eastus,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,eastus,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,eastus,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,eastus,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,eastus,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Copilot in Fabric,northcentralus,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Real-Time Intelligence,northcentralus,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Mirrored Databases,northcentralus,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
OneLake Shortcuts,northcentralus,Preview,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Data Activator,northcentralus,Unavailable,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
Fabric SQL Database,northcentralus,Planned,True,"SYNTHETIC - generated, not a business source: rollout weighted by regional request volume"
