OperationalIncidentId,CapacityId,DatacentreId,Region,FabricSku,SKUClass,OpenedDate,Severity,IncidentType,DowntimeMinutes,ImpactedCustomers,IsSynthetic,Provenance
OPS00067,southcentralus-dc06-cap01,southcentralus-dc06,southcentralus,F32,Intel-highmem,2025-09-01,Sev3,Capacity throttling,20,1,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00744,uksouth-dc01-cap04,uksouth-dc01,uksouth,F16,AMD-standard,2025-09-01,Sev4,Memory pressure,2,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00410,northcentralus-dc09-cap01,northcentralus-dc09,northcentralus,F256,GPU-class,2025-09-01,Sev4,Network partition,6,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00008,southcentralus-dc01-cap02,southcentralus-dc01,southcentralus,F16,Intel-highmem,2025-09-01,Sev4,Storage latency,12,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00506,canadacentral-dc06-cap01,canadacentral-dc06,canadacentral,F64,AMD-highmem,2025-09-01,Sev2,Network partition,52,4,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00183,centralindia-dc06-cap02,centralindia-dc06,centralindia,F16,Intel-highmem,2025-09-01,Sev4,Node unresponsive,5,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00477,canadacentral-dc03-cap01,canadacentral-dc03,canadacentral,F128,AMD-highmem,2025-09-02,Sev2,Memory pressure,116,8,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00296,westeurope-dc10-cap01,westeurope-dc10,westeurope,F128,GPU-class,2025-09-02,Sev2,Memory pressure,34,6,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00527,canadacentral-dc07-cap02,canadacentral-dc07,canadacentral,F128,AMD-standard,2025-09-02,Sev4,Storage latency,3,7,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
OPS00676,eastus2-dc02-cap01,eastus2-dc02,eastus2,F128,AMD-highmem,2025-09-02,Sev3,Network partition,24,3,True,"SYNTHETIC - generated, not a business source: incident rate driven by hardware class and capacity size, independent of utilisation"
